recipient_location_id,name,active,recipient_id,address_id,category,textsearch,v1_id,phone,rec_name,created_at,updated_at,o_textsearch,line1,line2,city,state,census_tract_num,census_match,Updated Address?,Census/Address Match Type,Census State #,Census County#,Census Block#,,zip,geolocation,created_at_1,updated_at_1,textsearch_1,active_1,latitude,longitude,neighborhood,override,organization_size,clients,client_zipcode,links,comments,zip_poverty_rate,zip_median_income,zip_food_access,zip_food_access_rounded,1-low 2-ex. low,census_low_access,census_extremely_low_access,census_income,census_poverty_rate,urban_census_tract
1,Wellsprings/osn,t,1,273,,,105,,(operation Safety Net) Mercy Community Health,17:12.3,17:12.3,communiti':5A 'health':6A 'merci':4A 'net':3A 'oper':1A 'safeti':2A,903 Watson Street,,Pittsburgh,PA,10300,Match,,Exact,42,3,2002,,15219,0101000020E61000002FC03E3A75FF53C00057B26323384440,17:12.3,37:49.1,,t,40.4386,-79.9915,Uptown,f,,Allegheny County,15219,,,37.2,21795,0.67272029,1,,1,0,66964,34.1,1
75,,t,31,347,,,175,,Bethlehem Haven,17:13.0,17:13.0,bethlehem':1A 'haven':2A,1410 5th Ave,,Pittsburgh,PA,10300,No_Match,,,42,3,,,15219,0101000020E6100000705F077419FF53C0A9E3CE541F384440,17:13.1,47:11.2,,t,40.4385,-79.9859,Uptown,t,,Uptown,15219,https://www.bethlehemhaven.org/about-2/,,37.2,21795,1.40613721,1,,1,0,66964,34.1,1
126,,t,71,398,,,357,,Family Resouces,17:13.5,17:13.5,famili':1A 'resouc':2A,1425 Forbes Ave,Fifth Floor,Pittsburgh,PA,10300,Match,,Exact,42,3,3004,,15219,0101000020E6100000691D554D10FF53C0D52137C30D384440,17:13.6,38:55.8,,t,40.4379,-79.9854,Uptown,f,,Uptown,15219,http://www.familyresourcesofpa.org/our-services.html,,37.2,21795,0.94611529,1,,1,0,66964,34.1,1
166,Watson st.,t,93,438,,,43,,Inactive - Bethlehem Haven,17:14.0,17:14.0,bethlehem':2A 'haven':3A 'inact':1A,905 Watson St,,Pittsburgh,PA,10300,Match,inactive,Exact,42,3,2002,,15219,0101000020E61000002FC03E3A75FF53C00057B26323384440,17:14.0,39:16.9,,t,40.4386,-79.9915,Uptown,f,,Uptown,15219,,,37.2,21795,,,,1,0,66964,34.1,1
183,,t,109,455,,,191,,Life's Work,17:14.1,17:14.1,life':1A 'work':3A,1323 Forbes Avenue,,Pittsburgh,PA,10300,No_Match,,,42,3,,,15219,0101000020E6100000302FC03E3AFF53C047C9AB730C384440,17:14.1,39:24.6,,t,40.4379,-79.9879,Uptown,f,,Uptown,15219,http://www.lifesworkwpa.org/community/,,37.2,21795,0.67272029,1,,1,0,66964,34.1,1
281,,t,171,553,,,134,,Shepherd's Heart,17:15.0,17:15.0,heart':3A 'shepherd':1A,13 Pride St.,,Pittsburgh,PA,10300,Match,,Exact,42,3,3002,,15219,0101000020E6100000971C774A07FF53C0637AC2120F384440,17:15.0,40:15.7,,t,40.438,-79.9848,Uptown,f,,Uptown,15219,https://shepheart.org/drop-in-center/,,37.2,21795,0.67272029,1,,1,0,66964,34.1,1
341,,t,220,613,,,163,,Womanspace East,17:15.5,17:15.5,east':2A 'womanspac':1A,2000 Fifth Ave,,Pittsburgh,PA,10300,No_Match,,,42,3,,,15219,0101000020E6100000545227A089FE53C0637AC2120F384440,17:15.5,40:49.2,,t,40.438,-79.9771,Uptown,f,,Allegheny County,15219,https://pa211sw.communityos.org/zf/profile/service/id/792048,,37.2,21795,0.67272029,1,,1,0,66964,34.1,1
4,,t,3,276,,,182,,412 Youth Zone,17:12.3,17:12.3,412':1A 'youth':2A 'zone':3A,304 Wood Street,,Pittsburgh,PA,20100,Match,,Exact,42,3,1021,,15222,0101000020E6100000B2683A3B190054C0C0EC9E3C2C384440,17:12.4,37:50.3,,t,40.4389,-80.0015,Downtown,f,420,McKeesport,15132,,,31.7,27700,1.06357444,1,,0,0,132344,20.1,1
6,(all Locations),t,5,278,,,22,,ACHA,17:12.4,17:12.4,acha':1A,625 Stanwix St,12th Floor,Pittsburgh,PA,20100,Match,,Exact,42,3,2024,,15222,0101000020E61000007FBC57AD4C0054C04D840D4FAF384440,17:12.4,37:51.3,,t,40.4428,-80.0047,Downtown,f,,Allegheny County,15222,http://www.achsng.com/communities.asp,Offers housing service to Allegheny County. Service Area varies,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
179,Convention Center,t,106,451,,,296,,Levy Restaurant,17:14.1,17:14.1,levi':1A 'restaur':2A,1000 Fort Duquesne Blvd.,,Pittsburgh,PA,20100,Match,,Exact,42,3,6015,,15222,0101000020E610000088687407B1FF53C085B1852007394440,17:14.1,39:22.9,,t,40.4455,-79.9952,Downtown,f,,"Cultural District, Downtown Pittsburgh",15222,https://www.yellowpages.com/pittsburgh-pa/mip/levy-restaurants-28033496,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
228,,t,140,500,,,285,,Outreached Arms,17:14.5,17:14.5,arm':2A 'outreach':1A,320 Oliver Ave,,Pittsburgh,PA,20100,Match,,Exact,42,3,3020,,15222,0101000020E6100000BCC62E29F4FF53C025D6EED37C384440,17:14.5,34:50.5,,t,40.4413,-79.9993,Downtown,t,,Pittsburgh,15222,http://www.outreachedarms.org/about/,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
241,Downtown,t,153,513,,,176,,Pork and Beans,17:14.7,17:14.7,bean':3A 'pork':1A,136 6th street,,Pittsburgh,PA,20100,Tie,,,42,3,,,15222,0101000020E6100000711B0DE02D0054C0FF092E56D4384440,17:14.7,39:54.9,,t,40.444,-80.0028,Downtown,f,,Downtown,15222,http://www.porkandbeanspgh.com/,,13.5,81250,0.76708658,1,,0,0,132344,20.1,1
