ID,recipient_name,recipient_location_name,address_line1,address_line2,city,status,org_size,open_from,open_to,days_of_week,food_accepted
436,Strange Roots,Gibsonia Brewing Location,4399 Gibsonia Rd,,Gibsonia,Exclude,,,,,
112,Driftwood Oven,,6901 Lynn Way,,Pittsburgh,exclude,,,,,
115,East End Co-operative Ministries,,6140 Station St,,Pittsburgh,exclude,,,,,"produce, meat, dairy; bread"
123,FAME Academy,East Liberty,"6031 Broad Street, Suite 200",,Pittsburgh,exclude,,,,,prepared food (food service); ready to eat
129,Fisher of Boys,Chippewa,114 Fisher Dr,,Darlington,exclude,,,,,"produce, non-perishables;  bread, other, non-food"
148,HACP,Liverpool St,1205 Liverpool St,,Pittsburgh,exclude,,,,,
156,HACP office,,1205 Liverpool Street,,Pittsburgh,exclude,50,9:00:00,5:00:00,12345,"produce, meat, dairy; non-perishables; ready to eat; bread, other, non-food"
162,Hope Haven Sanctuary,,2506 Wexford Bayne Rd,,Sewickley,exclude,,,,,
167,Intersection,McKeesport,115 SEVENTH AVENUE,,McKeesport,exclude,,,,,
171,Jewish Relief Agency,,1343 Old Freeport Road,,Pittsburgh,exclude,,,,,
174,Kelly Strayhorn Theater,East Liberty,5941 Penn Ave,,Pittsburgh,exclude,,,,,"produce, meat, dairy; non-perishables"
179,Levy Restaurant,Convention Center,1000 Fort Duquesne Blvd.,,Pittsburgh,exclude,,,,,
183,Life's Work,,1323 Forbes Avenue,,Pittsburgh,exclude,85,,,,
184,Light Of Life Ministries,,10 E North Ave,,Pittsburgh,exclude,325,,,,"produce, meat, dairy; non-perishables; ready to eat; bread"
2,412 Food Rescue,East Liberty Office,6022 Broad Street,,Pittsburgh,exclude,,0:00:00,23:59:59,1234567,
210,Millie's,Millie's Facility,6901 Lynn Way,,Pittsburgh,exclude,,,,,
215,NCJW,Squirrel Hill,1620 Murray Ave,,Pittsburgh,exclude,,,,,bread
225,Oliver School,,2323 Brighton Road,,Pittsburgh,exclude,,,,,
230,Penn's Corner,Lawrenceville,150 54th Street,,Pittsburgh,exclude,,,,,
238,Pittsburgh Zoo,Gate I,7100 Lake Drive,Gate i,Pittsburgh,exclude,,,,,
241,Pork and Beans,Downtown,136 6th street,,Pittsburgh,exclude,,,,,
254,Repair the World,,6022 Broad St,,Pittsburgh,exclude,,,,,
257,Rodef Shalom,,4905 Fifth Ave,,Pittsburgh,exclude,,,,,
3,412 Food Rescue,Penns Corner,150 54th St,,Pittsburgh,exclude,,9:00:00,17:00:00,12345,
313,Union Project,,801 N Negley Ave,,Pittsburgh,exclude,,,,,
352,wheels,Mckeesport,4313 Walnut Street,Suite 370,McKeesport,exclude,,,,,
391,Veltre's Community Event,,324 Coxcomb Hill,,Plum,exclude,,,,,
393,Urban Pathways,Downtown,914 Penn Ave # 300,,Pittsburgh,exclude,,,,,
395,SOMA,,1401 6th Ave,,Beaver Falls,exclude,,,,,
398,East End Brewing Company,,147 Julius St,,Pittsburgh,exclude,,,,,
399,Children's Hospital of PIttsburgh of UPMC,,4401 Penn Ave,,Pittsburgh,exclude,,,,,
400,Serenity Hill Farms,,330 Mill Dam Road,,Cheswick,exclude,,,,,"produce, meat, dairy; non-perishables; ready to eat; bread"
418,Jackie page catering,,3535 Foster Road,,white oak,exclude,,,,,
419,NonProfit Test,Rachel Firestone,6022 Broad Street,,Pittsburgh,exclude,,,,,
