Day,Donor Location ID,Nonprofit Partner,Recipient Location ID
Sunday,31,Homewood Concerned Citizen's Council : Homewood,161
Sunday,36,HACP : Caliguiri Plaza (Allentown),141
Sunday,367,,
Sunday,70,HACP : Pressley Street (Allegheny Center),155
Sunday,n/a,Mechling-Shakley Veterans Center,n/a
Sunday,n/a,Mechling-Shakley Veterans Center,n/a
Sunday,100,VOICE Women's Shelter : Cranberry Township (Cranberry Township),317
Sunday,100,VOICE Women's Shelter : Cranberry Township (Cranberry Township),317
Sunday,101,WCHA : Westgate Manor (Monessen),332
Sunday,102,HACP : Carrick Regency (Carrick),142
Sunday,102,HACP : Carrick Regency (Carrick),142
Sunday,n/a,Table of Grace,n/a
Sunday,108,St. Patricks : Canonsburg,297
Sunday,108,St. Patricks : Canonsburg,297
Sunday,110,Glenshaw Presbyterian,n/a
Sunday,110,Glenshaw Presbyterian,n/a
Sunday,112,ACHA : West Mifflin,33
Sunday,112,ACHA : West Mifflin,33
Sunday,114,Good Shepherd Lutheran Church : South Hills,135
Sunday,114,Good Shepherd Lutheran Church : South Hills,135
Sunday,116,Meals on Wheels : West Hills (Coraopolis),205
Sunday,116,Meals on Wheels : West Hills (Coraopolis),205
Sunday,117,WCHA : Parnassus Manor (New Kensington),327
Sunday,117,WCHA : Parnassus Manor (New Kensington),327
Sunday,n/a,Calvary of God Church : Clairton (Clairton),n/a
Sunday,119,Wallace Memorial Presbyterian,315
Sunday,120,BCHA : Rolling Road Regency Apts,84
Sunday,122,ACHA : Dumplin Hall (Wilkinsburg),9
Sunday,122,ACHA : Dumplin Hall (Wilkinsburg),9
Sunday,123,ACHA : Groveton Village (Coraopolis),13
Sunday,127,HACP : Caliguiri Plaza (Allentown),141
Sunday,n/a,Washington County Christian Outreach,n/a
Sunday,n/a,Washington County Christian Outreach,n/a
Sunday,162,HACP : Glen Hazel (Glen Hazel),145
Sunday,161,HACP : Glen Hazel (Glen Hazel),145
Sunday,313,YMCA : Homewood (Homewood West),349
Sunday,191,Bethany House,73
Sunday,268,Twin Towers : Mt Lebanon,310
Sunday,268,Twin Towers : Mt Lebanon,310
Monday,269,Bethlehem Haven,75
Monday,23,HACP : Carrick Regency (Carrick),142
